21 -> 2475,40082563121 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
22 -> 2467,18555345212 : Saint-Juli, Is-sur-Til, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Vougeot, Aloxe-Cort, Chamboeuf, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Saulieu, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Quetigny, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
23 -> 2467,18555345212 : Saint-Juli, Is-sur-Til, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Vougeot, Aloxe-Cort, Chamboeuf, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Saulieu, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Quetigny, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
24 -> 2467,18555345212 : Saint-Juli, Is-sur-Til, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Vougeot, Aloxe-Cort, Chamboeuf, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Saulieu, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Quetigny, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
25 -> 2467,18555345212 : Saint-Juli, Is-sur-Til, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Vougeot, Aloxe-Cort, Chamboeuf, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Saulieu, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Quetigny, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
26 -> 2446,08631033296 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Aisey-sur-, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
27 -> 2446,00955723486 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Nuits-Sain, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
28 -> 2446,00955723486 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Nuits-Sain, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
29 -> 2446,00955723486 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Nuits-Sain, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
30 -> 2432,01772762597 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Dompierre-, Noidan, Aisey-sur-, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Vougeot, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Prenois, Auxonne
